artist,title
cody johnson,'til you can't
young dolph,100 shots
taylor swift,22 (taylor's version)
tai verdes,a-o-k
walker hayes,aa
gayle,abcdefu
gayle,abcdefu (feat. royal & the serpent)
silk sonic (bruno mars & anderson .paak) with thundercat & bootsy collins,after last night
mickey guyton,all american
shane smith & the saints,all i see is you
mariah carey,all i want for christmas is you
adele,all night parking (with erroll garner) interlude
taylor swift,all too well (10 minute version) (taylor's version) (from the vault)
taylor swift,all too well (taylor's version)
juice wrld,already dead
jessie murph,always been you
taylor swift,babe (taylor's version) (from the vault)
ed sheeran,bad habits
polo g,bad man (smooth criminal)
måneskin,beggin
maneskin,beggin'
taylor swift,begin again (taylor's version)
yuuri,betelgeuse
neiked x mae muller x polo g,better days
"neiked, mae muller & polo g",better days
"neiked,  mae muller, &  polo g",better days
taylor swift,better man (taylor's version) (from the vault)
latto,big energy
avril lavigne,bite me
summer walker &  cardi b,bitter (narration by cardi b)
silk sonic (bruno mars & anderson .paak),blast off
the weeknd,blinding lights
young thug with drake & travis scott,bubbly
young thug,bubbly (with drake & travis scott)
bts,butter
jordan davis featuring luke bryan,buy dirt
jordan davis,buy dirt (feat. luke bryan)
rod wave,by your side
adele,can i get it
robert plant & alison krauss,can't let go
drake,champagne poetry
ryan hurd & maren morris,chasing after you
ryan hurd with maren morris,chasing after you
niziu,chopstick
blxst & tyga featuring ty dolla $ign,chosen
trans-siberian orchestra,christmas / sarajevo 12/24 (instrumental)
luke combs,cold as you
elton john & dua lipa,cold heart (pnau remix)
elton john &  dua lipa,cold heart (pnau remix)
blake shelton,come back as a country boy
taylor swift,come back...be here (taylor's version)
summer walker,constant b******t
official hige dandism,cry baby
adele,cry your heart out
andy grammer,damn it feels good to be me
fl dusa,dear god (feat. kevin gates)
acraze,do it to it (feat. cherish)
luke combs,doin' this
kid rock,don't tell me how to live (feat. monster truck)
yuuri,dried flower
elle king & miranda lambert,drunk (and i don't wanna go home)
girl named tom,dust in the wind (the voice performance)
bts,dynamite
adele,easy on me
taylor swift,enchanted
"imagine dragons, jid & league of legends","enemy (from the series ""arcane league of legends"")"
travis scott,escape plan
wizkid featuring justin bieber & tems,essence
wizkid,essence (feat. tems)
dj khaled,every chance i get (feat. lil baby & lil durk)
taylor swift featuring ed sheeran,everything has changed (taylor's version)
summer walker & jt,ex for a reason
"summer walker,  jt, &  city girls",ex for a reason
drake featuring travis scott,fair trade
drake,fair trade (feat. travis scott)
baby keem & kendrick lamar,family ties
walker hayes,fancy like
carrie underwood,favorite time of year
tate mcrae,feel like shit
silk sonic (bruno mars & anderson .paak),fly as me
pop smoke,for the night (feat. lil baby & dababy)
giveon,for tonight
taylor swift,forever winter (taylor's version) (from the vault)
jon batiste,freedom
jimmie allen & brad paisley,freedom was a highway
justin bieber,ghost
zoe wees,girls like us
drake featuring lil baby,girls want girls
drake,girls want girls (feat. lil baby)
matthew west,gobble gobble
state of mine & drew jacobs,god's country
olivia rodrigo,good 4 u
jimmie allen & nelly,good times roll
capella grey,gyalis
billie eilish,happier than ever
chloe,have mercy
aimyon,heart
glass animals,heat waves
jason aldean,heaven
adele,hello
adele,hold on
taylor swift,holy ground (taylor's version)
taylor swift,i almost do (taylor's version)
emmy meli,i am woman
taylor swift featuring chris stapleton,i bet you think about me (taylor's version) (from the vault)
taylor swift,i bet you think about me (taylor's version) (from the vault) [feat. chris stapleton]
sickick,i can feel it
chris lane,i don't know about you
nate smith,i don't wanna go to heaven
adele,i drink wine
pitbull,i feel good (feat. anthony watts & djws)
taylor swift,i knew you were trouble (taylor's version)
jon batiste,i need you
backstreet boys,i want it that way
foreigner,i want to know what love is
jason aldean & carrie underwood,if i didn't love you
drake,in the bible (feat. lil durk & givēon)
lil nas x &  jack harlow,industry baby
lil nas x & jack harlow,industry baby
summer walker,insane
michael bublé,it's beginning to look a lot like christmas
doja cat featuring sza,kiss me more
doja cat,kiss me more (feat. sza)
drake featuring 21 savage & project pat,knife talk
drake,knife talk (feat. 21 savage & project pat)
kenny chesney,knowing you
rosalia featuring the weeknd,la fama
wham!,last christmas (single version)
silk sonic (bruno mars & anderson .paak),leave the door open
"bruno mars,  anderson .paak, &  silk sonic",leave the door open
dua lipa,levitating
nelly & florida georgia line,lil bit
"tainy,  bad bunny, &  julieta venegas",lo siento bb:/
adele,love is a game
ckay,love nwantiti (ah ah ah)
ckay,love nwantiti (feat. axel & dj yo) [remix]
spencer crandall,made
adele,make you feel my love
"the anxiety,  willow, &  tyler cole",meet me at our spot
the anxiety: willow & tyler cole,meet me at our spot
"the anxiety, willow & tyler cole",meet me at our spot (live)
taylor swift,message in a bottle (taylor's version) (from the vault)
justin bieber,mistletoe
lil nas x,montero (call me by your name)
girl named tom,more hearts than mine
swedish house mafia &  the weeknd,moth to a flame
swedish house mafia & the weeknd,moth to a flame
adele,my little love
coldplay &  bts,my universe
coldplay x bts,my universe
macaroni empitsu,"nanndemonaiyo,"
doja cat,need to know
cole swindell & lainey wilson,never say never
carly pearce & ashley mcbryde,never wanted to be that girl
drake,no friends in the industry
summer walker &  sza,no love
summer walker & sza,no love
taylor swift featuring phoebe bridgers,nothing new (taylor's version) (from the vault)
vaundy,odoriko
adele,oh my god
jennifer lopez,on my way (marry me)
kane brown,one mississippi
post malone &  the weeknd,one right now
post malone & the weeknd,one right now
ed sheeran,overpass graffiti
farruko,pepas
bts,permission to dance
kanye west,praise god
silk sonic (bruno mars & anderson .paak),put on a smile
lilorx,racing into the night (ringtone remix)
polo g,rapstar
summer walker,reciprocate
taylor swift,red (taylor's version)
brenda lee,rockin' around the christmas tree (single)
adele,rolling in the deep
taylor swift featuring ed sheeran,run (taylor's version) (from the vault)
taylor swift,run (taylor's version) (from the vault) [feat. ed sheeran]
taylor swift,sad beautiful tragic (taylor's version)
amaarae & moliy featuring kali uchis,sad girlz luv money
amaarae &  kali uchis,sad girlz luv money remix (feat. moliy)
zac brown band,same boat
morgan wallen,sand in my boots
ariana grande,santa tell me
rich rowe,santa's gotta dirty job
the weeknd & ariana grande,save your tears
casting crowns,scars in heaven
meek mill featuring lil baby & lil durk,sharing locations
meek mill,sharing locations (feat. lil baby & lil durk)
ed sheeran,shivers
yuuri,shutter
the band mcmillan,single bells
silk sonic (bruno mars & anderson .paak),skate
rob thomas,small town christmas
"bruno mars,  anderson .paak, &  silk sonic",smokin out the window
silk sonic (bruno mars & anderson .paak),smokin out the window
"bruno mars, anderson .paak & silk sonic",smokin out the window
the band mcmillan,somebody's got to
taylor swift,starlight (taylor's version)
taylor swift,state of grace (taylor's version)
the kid laroi & justin bieber,stay
the kid laroi &  justin bieber,stay
taylor swift,stay stay stay (taylor's version)
adele,strangers by nature
carrie underwood,stretchy pants
back number,suiheisen
kodak black,super gremlin
the weeknd,take my breath
chris stapleton,tennessee whiskey
jon pardi,tequila little time
lil nas x,thats what i want
twice,the feels
taylor swift featuring gary lightbody of snow patrol,the last time (taylor's version)
taylor swift,the lucky one (taylor's version)
taylor swift,the moment i knew (taylor's version)
ben rector,the thanksgiving song
adam sandler,the thanksgiving song
taylor swift,the very first night (taylor's version) (from the vault)
dustin lynch featuring lauren alaina or mackenzie porter,thinking 'bout you
dustin lynch,thinking 'bout you (feat. mackenzie porter)
summer walker,throw it away
adele,to be loved
gunna &  future,too easy
summer walker,toxic (feat. lil durk)
olivia rodrigo,traitor
taylor swift,treacherous (taylor's version)
walker hayes,u gurl
summer walker &  ari lennox,unloyal
drake,wants and needs (feat. lil baby)
drake featuring future & young thug,way 2 sexy
drake,way 2 sexy (feat. future & young thug)
taylor swift,we are never ever getting back together (taylor's version)
michael ray,whiskey and rain
bing crosby,white christmas
"nardo wick featuring g herbo, lil durk & 21 savage",who want smoke??
nardo wick,"who want smoke?? (feat. g herbo, lil durk & 21 savage)"
normani featuring cardi b,wild side
trans-siberian orchestra,wizards in winter (instrumental)
doja cat,woman
adele,woman like me
summer walker,you don’t know me
doja cat &  the weeknd,you right
doja cat & the weeknd,you right
chris stapleton,you should probably leave
moreart,я буду ебать (feat. ihi)
